block_uuid,block_name,block_norm,district_name,district_norm,vintage,centroid_lon,centroid_lat
d466d28f-f9b4-4683-ac23-9cb6ed9abacf,JHONTHRI,JHONTHRI,DUNGARPUR,DUNGARPUR,2019,73.75075987209793,23.6768786729608
a6a6408f-c8d2-4935-b68e-52a948ace974,BALESAR,BALESAR,JODHPUR,JODHPUR,2021,72.60720185871307,26.40743643289484
9fcfe6ca-f2d3-41db-8a8c-975d834c2398,SURAJGARH,SURAJGARH,JHUNJHUNUN,JHUNJHUNU,2019,75.71745289500686,28.343318522581008
468e8f80-30d8-4461-86d0-e8a65ce90c3b,BIKANER_URBAN,BIKANER URBAN,BIKANER,BIKANER,2021,73.31614095168017,28.00880141882735
7eed3b0d-5dcc-439f-99b2-e83175908ce8,JAIPUR_URBAN,JAIPUR URBAN,JAIPUR,JAIPUR,2021,75.80268726090738,26.89579786081634
8c9800bb-6031-4bc3-8788-832bf6c94ba4,MUNDWA,MUNDWA,NAGAUR,NAGAUR,2021,73.78518135689096,26.988149739848247
dee833b4-7404-40f7-9551-1b8448718d53,KUMBHALGARH,KUMBHALGARH,RAJSAMAND,RAJSAMAND,2019,73.66496045499893,25.170508209519166
c90852cd-18e7-4155-85fa-fbe5ae9f236b,SANGOD,SANGOD,KOTA,KOTA,2021,76.20966873833673,24.915518469594776
20be46b0-54e4-4226-ad34-b64e4af13da4,ATRU,ATRU,BARAN,BARAN,2019,76.5882173418309,24.827907087706837
90099314-7101-4835-a739-80fc196fde34,GANGAPUR,GANGAPUR,SAWAI MADHOPUR,SAWAI MADHOPUR,2019,76.76405154653563,26.510957245594206
247ccb09-b2e2-48f5-834e-afdf1fdae17a,DUDU,DUDU,JAIPUR,JAIPUR,2019,75.23318742458783,26.74773936448548
2815bb73-9fce-407a-abb9-7d76179a1291,SHEOGANJ,SHEOGANJ,SIROHI,SIROHI,2021,72.90581120516757,25.090672622870375
db7c0971-e744-4cf1-a05f-d14271244e0d,BARI SADRI,BARI SADRI,CHITTAURGARH,CHITTAURGARH,2021,74.46094500073887,24.398077421222734
50554a02-8bf7-41d6-82f8-81abd81f5ede,KHARCHI (MARWAR JUNCTION),KHARCHI (MARWAR JUNCTION),PALI,PALI,2021,73.68912638213358,25.678243894255537
ea02a40a-03dc-4703-a57a-e5cfe357b89a,HANUMANGARH,HANUMANGARH,HANUMANGARH,HANUMANGARH,2019,74.28953225650238,29.550817847835155
cf2bbb37-fee4-4f61-800c-e7247fef2ffe,LASADIYA,LASADIYA,UDAIPUR,UDAIPUR,2021,74.23827610976143,24.271228210437933
d66fbfee-c7fe-4c85-9ef1-b3e927898a9b,BEGUN,BEGUN,CHITTAURGARH,CHITTAURGARH,2019,75.00249311014755,25.011614692397764
41fe7979-f980-4bfc-857e-e9d641090922,Rajgarh,RAJGARH,ALWAR,ALWAR,2019,76.61290584110691,27.38071641333849
1e3409d4-5139-465e-ab5e-011adc31a9b9,PIPAR CITY,PIPAR CITY,JODHPUR,JODHPUR,2019,73.5801690649701,26.427949032467335
95781299-74b3-4c3d-acc8-149ced671b32,BANDIKUI,BANDIKUI,DAUSA,DAUSA,2019,76.59549366998903,27.05030414886765
42356ba6-8478-4ea0-868d-ef04271dc1d0,BHOPALGARH,BHOPALGARH,JODHPUR,JODHPUR,2019,73.47501441869015,26.677153278544054
2c05e2f9-6926-4317-9ac0-2097002b4f1e,BARI,BARI,DHAULPUR,DHAULPUR,2019,77.65063034426464,26.617281294736884
8519146e-6548-4ab6-b5c9-4fc8bde08336,SARDARSHAHAR,SARDARSHAHAR,CHURU,CHURU,2019,74.41740312865656,28.536666274756897
95bc5651-23db-485b-971e-a3ee3f2b817b,CHITTAURGARH,CHITTAURGARH,CHITTAURGARH,CHITTAURGARH,2021,74.68173916575661,24.881219553440378
33c7d5eb-8a83-40f4-8cdf-c074c345d5dd,BALOTRA,BALOTRA,BARMER,BARMER,2021,72.14925840342505,25.83084627386332
5c1987b8-950c-4f03-bcd0-f2c2b3210892,SALUMBAR,SALUMBAR,UDAIPUR,UDAIPUR,2019,74.02823383183983,24.177463696170207
ece5b933-909f-4439-91d2-74d217d4ea94,MERTA,MERTA,NAGAUR,NAGAUR,2021,73.91099248203297,26.65631479042905
91aff5d7-ca12-44c2-bf11-0fff488b20a9,CHEEKHLI,CHEEKHLI,DUNGARPUR,DUNGARPUR,2021,73.88259268982124,23.44588270595058
a313e579-ec25-46a8-a0c0-443c033a82b8,SANGOD,SANGOD,KOTA,KOTA,2019,76.20966871361998,24.915518484599804
57c8c672-0b41-4c70-8ca6-89aa4f9c7edb,ROHAT,ROHAT,PALI,PALI,2019,73.09000746088361,25.860806135903207
84320cfb-b5c1-4621-aa4d-8cfb1d89f581,PHALODI,PHALODI,JODHPUR,JODHPUR,2019,72.42373287920994,27.14259377503787
59e9ef28-0410-4d20-b60b-788e69e665a8,ITAWA,ITAWA,KOTA,KOTA,2019,76.42149768729661,25.58325664365495
aac7ab80-c909-4455-9736-45d80a42e70a,SUWANA,SUWANA,BHILWARA,BHILWARA,2019,74.62300859898778,25.296282856232768
f6b6f7a1-c1eb-4737-a076-03d3e3aa9bd5,RISHABHDEV,RISHABHDEV,UDAIPUR,UDAIPUR,2021,73.67042031741191,24.08225698925318
d00a9db3-9140-4b24-b1b1-6257b062ed75,SANGANER_RURAL,SANGANER RURAL,JAIPUR,JAIPUR,2021,75.70743834566511,26.78394391816384
be3fab60-80ad-491a-919d-dd18206b5f68,ANTAH,ANTAH,BARAN,BARAN,2021,76.38643815528678,25.223289959343113
c144281a-7dd9-42ee-9125-9ec5d70c7f0f,JHUNJHUNUN,JHUNJHUNU,JHUNJHUNU,JHUNJHUNU,2021,75.3557247425143,28.090325702887974
9d1645aa-3a61-43ce-b9de-4e4e1adde87d,SHAHPURA,SHAHPURA,BHILWARA,BHILWARA,2021,74.90701088978669,25.688004468696167
4634773e-2902-43a1-953e-aec815bdbeb2,KOTRA,KOTRA,UDAIPUR,UDAIPUR,2019,73.21878826908423,24.502575480689405
b8fa0b76-d2de-4e9a-a914-fcf04cb5a54c,GANGRAR,GANGRAR,CHITTAURGARH,CHITTAURGARH,2019,74.63653598301977,25.069853225607027
15ac0843-02b2-4912-91a5-b97b580e947e,PALI,PALI,PALI,PALI,2021,73.27904045355616,25.694746768649093
c2a0bdcf-ddb2-43bd-9901-8bc75e81586d,TALWARA,TALWARA,BANSWARA,BANSWARA,2019,74.35241884053592,23.5562930203425
